text,favoriteCount,retweetCount
#Weekend #Soundtrack #Aston #April #Echelon #TheBrowns #np #UKGarage #GarageHouse #Dance #Electronic #Bassboy https://t.co/tMMsNcGDQ6,0,1
As you go about your #weekend please take precautionary measures to ensure your health...and of course helping to s https://t.co/BiPcaab2Qz,0,0
"Coming up: a ton of memories, as The Q goes full tilt #70sMusic for the #weekend https://t.co/lTqtEEUlIl https://t.co/WKdtBNTdym",2,0
Stock up your #booze for the #weekend - #crowlers and adult drink pouches available to go! (#Margarita pictured.) @ https://t.co/yaapFzdDMS,0,0
"Pattern #9 in ""The Simplicity Collection"" is on the needles.  Be the 1st to know when the collection is released by https://t.co/kLpwZfIADO",0,0
"And its time for me to relax for the weekend tweethearts! How the weekend #nightlife has changed hey?

#Friday https://t.co/iBTG8SfxB0",11,0
"Love this. Make a plan to do this this #weekend! #SocialDistancing 

https://t.co/yn7wb0BUAa",0,0
"Looking forward for weekend.
.
.
.
.
.
.
.
.
#london #weekend #home #blooger #ukblogger #reality #abutalibghadiri https://t.co/SNrusiMHsE",0,0
A happy customer wearing her hoops with 15th Century Azulejo Tiles #bighoops #earrings #hoops #hoopearrings #gypsy https://t.co/pXfl3YnzR9,0,0
"Do you think bitcoin is a good investment? If so, why? #weekend #Bitcoin #investing #Friday",1,0
The most beautiful gift of nature is that it gives one pleasure to look around and try to comprehend what we see. - https://t.co/wAcN4EvvcU,0,0
The Archie Bradley and Tuffy Gosewisch battery sounds like a Bazooka Joe comic. Plus look for everyone's favorite o https://t.co/cY7mAx8Fzb,0,0
Keep the #Kids entertained this #Weekend by going #Camping right in your own #Backyard! While travel to the https://t.co/Ntecq1Rj2w,0,0
"I know its only been a month, but dont it seem like Dr Quinn Medicine Woman times ago?  #tgif #friday #fridays https://t.co/JIC1UHHaqM",0,1
Get it NOW - The Shy Albatross Sauvignon Blanc 2019 Marlborough. Free same-day delivery to Sussex areas! https://t.co/J5YPsiULyJ,0,0
"Was this week 4? I lost count. So far, tanned on right halfwill have to turn desk for next 4 weeks to tan left s https://t.co/XAcrh4m4yb",0,0
"Bluebells, wild garlic and sunshine. #Friday #weekend #Nikon #photooftheday #Northwich #dailyphoto #ThePhotoHour https://t.co/qrvU4Tix1z",26,5
